FRUTAS,ESPORTES,ANIMAIS,CAPITAIS
Maçã,Futebol,Cachorro,Tóquio
Banana,Basquete,Gato,Paris
Uva,Tênis,Leão,Roma
Pera,Vôlei,Tigre,Cairo
Morango,Natação,Urso,Londres
Abacaxi,Atletismo,Elefante,Delhi
Manga,Golfe,Zebra,Ottawa
Mamão,Ciclismo,Rato,Oslo
Kiwi,Boxe,Pato,Viena
Laranja,Muaythai,Galo,Lisboa
Limão,Badminton,Cobra,Lima
Melancia,Rugby,Peixe,Seul
Melão,Handebol,Baleia,Madrid
Maracujá,Hóquei,Golfinho,Praga
Framboesa,Esqui,Tartaruga,Nairobi
Cereja,Skate,Borboleta,Sydney
Amora,Surfe,Águia,Brasília
Caju,Judô,Pinguim,Berlim
Jabuticaba,Karatê,Girafa,Havana
Figo,Escalada,Rinoceronte,Zagreb
Romã,,Macaco,Moscou
Ameixa,,Jacaré,Roma
Damasco,,Gorila,Canberra
Abacate,,Pássaro,
Goiaba,,Coala,
Pitanga,,Canguru,
Acerola,,Panda,
Jambo,,Hamster,
Graviola,,Cavalo,
Tangerina,,Tartaruga,
